rank_under_SSP5-8.5,city,country,archetype,lat,lon,gw_base_m,gap_Control-NoCC,gap_Control-NoCC_ci_lo,gap_Control-NoCC_ci_hi,sign_Control-NoCC,gap_SSP1-2.6,gap_SSP1-2.6_ci_lo,gap_SSP1-2.6_ci_hi,sign_SSP1-2.6,gap_SSP2-4.5,gap_SSP2-4.5_ci_lo,gap_SSP2-4.5_ci_hi,sign_SSP2-4.5,gap_SSP5-8.5,gap_SSP5-8.5_ci_lo,gap_SSP5-8.5_ci_hi,sign_SSP5-8.5
1,Shanghai,China,deltaic,31.2304,121.4737,2.5,0.00542,-0.01894,0.02871,zero-crossing,-0.01291,-0.03775,0.01366,zero-crossing,0.00402,-0.02823,0.03615,zero-crossing,0.02652,-0.00198,0.05639,zero-crossing
2,NewOrleans,USA,deltaic,29.9511,-90.0715,2.0,0.0044,-0.02639,0.03686,zero-crossing,0.0098,-0.01821,0.0418,zero-crossing,0.00634,-0.02005,0.03033,zero-crossing,0.02433,-0.00046,0.04549,zero-crossing
3,Christchurch,NewZealand,deltaic,-43.532,172.6306,1.5,-0.01499,-0.04277,0.01616,zero-crossing,-0.01163,-0.03304,0.01477,zero-crossing,0.00966,-0.01664,0.03328,zero-crossing,0.02234,-0.01203,0.05214,zero-crossing
4,Guangzhou,China,deltaic,23.1291,113.2644,2.5,0.01358,-0.01264,0.04276,zero-crossing,-0.0063,-0.03436,0.02251,zero-crossing,-0.01497,-0.04085,0.01322,zero-crossing,0.01946,-0.0077,0.04266,zero-crossing
5,Dhaka,Bangladesh,deltaic,23.8103,90.4125,1.5,0.00418,-0.01751,0.02551,zero-crossing,-0.0045,-0.03329,0.01963,zero-crossing,0.00237,-0.02342,0.02864,zero-crossing,0.01918,-0.00901,0.04587,zero-crossing
6,Tianjin,China,deltaic,39.1421,117.1767,2.5,0.001,-0.0245,0.0246,zero-crossing,-0.00057,-0.02498,0.0233,zero-crossing,0.0003,-0.02634,0.02889,zero-crossing,0.01778,-0.01297,0.04291,zero-crossing
7,Bangkok,Thailand,coastal,13.7563,100.5018,3.5,0.00567,-0.01884,0.0347,zero-crossing,-0.00847,-0.03988,0.0212,zero-crossing,0.00126,-0.03122,0.03183,zero-crossing,0.01638,-0.01522,0.04727,zero-crossing
8,HoChiMinh,Vietnam,deltaic,10.8231,106.6297,2.0,0.00289,-0.023,0.03168,zero-crossing,-0.01429,-0.04354,0.01144,zero-crossing,-0.00018,-0.03526,0.03206,zero-crossing,0.0161,-0.01503,0.04581,zero-crossing
9,Asuncion,Paraguay,lowland,-25.2637,-57.5759,4.0,0.00876,-0.0152,0.03552,zero-crossing,-0.00775,-0.03466,0.01869,zero-crossing,0.00228,-0.03405,0.0363,zero-crossing,0.01596,-0.01794,0.04899,zero-crossing
10,BuenosAires,Argentina,coastal,-34.6037,-58.3816,3.5,0.01693,-0.00991,0.0441,zero-crossing,-0.01477,-0.04725,0.01328,zero-crossing,0.00906,-0.025,0.04026,zero-crossing,0.01305,-0.0203,0.04039,zero-crossing
11,Naples,Italy,coastal,40.8518,14.2681,8.0,0.01311,-0.01307,0.04253,zero-crossing,-0.02596,-0.05359,0.00335,zero-crossing,-0.00051,-0.03599,0.04115,zero-crossing,0.01102,-0.01991,0.04384,zero-crossing
12,Mumbai,India,coastal,19.076,72.8777,5.0,-0.00137,-0.02841,0.0278,zero-crossing,-0.0146,-0.04339,0.01625,zero-crossing,-0.0114,-0.04778,0.02248,zero-crossing,0.00953,-0.02478,0.03898,zero-crossing
13,Auckland,NewZealand,coastal,-36.8485,174.7633,5.0,0.01265,-0.01586,0.04255,zero-crossing,-0.02044,-0.04921,0.00512,zero-crossing,-0.00438,-0.04054,0.03343,zero-crossing,0.00787,-0.02766,0.04513,zero-crossing
14,Wuhan,China,lowland,30.5928,114.3055,3.5,0.00424,-0.02578,0.03607,zero-crossing,-0.00587,-0.03657,0.02484,zero-crossing,0.00159,-0.02858,0.03261,zero-crossing,0.0076,-0.03062,0.03957,zero-crossing
15,Manila,Philippines,coastal,14.5995,120.9842,3.5,0.01318,-0.00994,0.04238,zero-crossing,-4e-05,-0.02677,0.02658,zero-crossing,0.00575,-0.02333,0.03561,zero-crossing,0.00637,-0.02144,0.03764,zero-crossing
16,Osaka,Japan,coastal,34.6937,135.5023,4.5,0.00905,-0.01648,0.03481,zero-crossing,-0.01167,-0.04291,0.01715,zero-crossing,0.00058,-0.02973,0.03588,zero-crossing,0.00531,-0.02263,0.03557,zero-crossing
17,Lagos,Nigeria,lowland,6.5244,3.3792,3.5,0.0053,-0.01853,0.03882,zero-crossing,-0.00757,-0.03596,0.01973,zero-crossing,0.00951,-0.02312,0.04745,zero-crossing,0.00509,-0.03054,0.03849,zero-crossing
18,Tokyo,Japan,coastal,35.6762,139.6503,5.0,0.01127,-0.01387,0.03706,zero-crossing,-0.01474,-0.04408,0.0147,zero-crossing,-0.00822,-0.04688,0.02598,zero-crossing,0.00424,-0.02975,0.03119,zero-crossing
19,Lima,Peru,arid,-12.0464,-77.0428,20.0,0.01952,-0.00758,0.04823,zero-crossing,-0.01773,-0.0502,0.01412,zero-crossing,-0.00073,-0.04234,0.04081,zero-crossing,0.00402,-0.03575,0.03886,zero-crossing
20,MexicoCity,Mexico,high_alt,19.4326,-99.1332,6.0,-0.00677,-0.0376,0.02072,zero-crossing,-0.02038,-0.04942,0.00773,zero-crossing,0.0065,-0.03518,0.04024,zero-crossing,0.00401,-0.02705,0.0372,zero-crossing
21,Algiers,Algeria,coastal,36.7372,3.0866,7.0,0.00979,-0.0203,0.03987,zero-crossing,-0.02361,-0.05263,0.00711,zero-crossing,-0.00232,-0.04226,0.04035,zero-crossing,0.00388,-0.03371,0.03819,zero-crossing
22,Athens,Greece,mixed,37.9838,23.7275,11.0,0.00813,-0.0186,0.0372,zero-crossing,-0.02164,-0.05203,0.00798,zero-crossing,-0.00261,-0.0415,0.03714,zero-crossing,0.00237,-0.03271,0.03448,zero-crossing
23,Baku,Azerbaijan,coastal,40.4093,49.8671,8.0,0.00468,-0.02056,0.03258,zero-crossing,-0.00961,-0.04161,0.02456,zero-crossing,0.00065,-0.03835,0.04295,zero-crossing,0.0014,-0.03338,0.03301,zero-crossing
24,Tehran,Iran,arid,35.6892,51.389,15.0,0.00832,-0.02637,0.04116,zero-crossing,-0.01737,-0.04664,0.01549,zero-crossing,0.00107,-0.03855,0.04695,zero-crossing,0.00135,-0.03739,0.03812,zero-crossing
25,Melbourne,Australia,coastal,-37.8136,144.9631,7.0,0.00463,-0.02711,0.03488,zero-crossing,-0.01423,-0.04396,0.01401,zero-crossing,0.00147,-0.03484,0.03879,zero-crossing,0.00134,-0.03745,0.03474,zero-crossing
26,Seattle,USA,mixed,47.6062,-122.3321,8.0,0.02444,-0.00144,0.05223,zero-crossing,-0.01225,-0.0408,0.01725,zero-crossing,-0.01085,-0.04853,0.02525,zero-crossing,0.0012,-0.03018,0.03106,zero-crossing
27,Anchorage,USA,cold,61.2181,-149.9003,8.0,0.01712,-0.01725,0.0531,zero-crossing,-0.01754,-0.05378,0.01749,zero-crossing,-0.00653,-0.04835,0.03037,zero-crossing,0.00092,-0.03351,0.03281,zero-crossing
28,Casablanca,Morocco,coastal,33.5731,-7.5898,8.0,2e-05,-0.02726,0.03148,zero-crossing,-0.01395,-0.04153,0.01915,zero-crossing,-0.00315,-0.04202,0.03397,zero-crossing,0.00053,-0.03015,0.0321,zero-crossing
29,Sydney,Australia,coastal,-33.8688,151.2093,6.0,-0.00845,-0.03819,0.02482,zero-crossing,-0.02309,-0.05562,0.00617,zero-crossing,0.00566,-0.03053,0.04177,zero-crossing,-0.00036,-0.03244,0.0302,zero-crossing
30,LaPaz,Bolivia,high_alt,-16.5,-68.15,10.0,0.01114,-0.023,0.04662,zero-crossing,-0.03802,-0.06526,-0.00935,negative,-0.00459,-0.04332,0.0305,zero-crossing,-0.0005,-0.0356,0.03317,zero-crossing
31,Beijing,China,mixed,39.9042,116.4074,11.0,0.02041,-0.00851,0.05563,zero-crossing,-0.00852,-0.04548,0.0272,zero-crossing,-0.00353,-0.04352,0.03763,zero-crossing,-0.00264,-0.03894,0.02886,zero-crossing
32,Lisbon,Portugal,coastal,38.7223,-9.1393,6.0,-0.00142,-0.02996,0.03137,zero-crossing,-0.01041,-0.04007,0.01996,zero-crossing,0.00093,-0.03393,0.0399,zero-crossing,-0.00287,-0.04001,0.03071,zero-crossing
33,Vancouver,Canada,coastal,49.2827,-123.1207,5.0,0.00872,-0.02386,0.04334,zero-crossing,-0.01889,-0.04772,0.00902,zero-crossing,-0.01097,-0.04589,0.02309,zero-crossing,-0.00344,-0.03726,0.03,zero-crossing
34,Yerevan,Armenia,mixed,40.1792,44.4991,13.0,0.00746,-0.02428,0.04403,zero-crossing,-0.02552,-0.05946,0.0112,zero-crossing,-0.00818,-0.0453,0.03591,zero-crossing,-0.00344,-0.0355,0.0307,zero-crossing
35,Wellington,NewZealand,coastal,-41.2924,174.7787,8.0,0.01211,-0.01731,0.04249,zero-crossing,-0.01961,-0.04959,0.01,zero-crossing,-0.01099,-0.04762,0.02802,zero-crossing,-0.00346,-0.04029,0.02855,zero-crossing
36,Istanbul,Turkey,mixed,41.0082,28.9784,12.0,0.00499,-0.02187,0.03501,zero-crossing,-0.01439,-0.04627,0.01541,zero-crossing,0.00735,-0.02978,0.0444,zero-crossing,-0.00437,-0.03761,0.02758,zero-crossing
37,Tashkent,Uzbekistan,arid,41.2995,69.2401,12.0,0.00811,-0.0207,0.03676,zero-crossing,-0.01732,-0.04675,0.0147,zero-crossing,-0.00687,-0.0429,0.02786,zero-crossing,-0.00447,-0.04008,0.03007,zero-crossing
38,Bushehr,Iran,coastal,28.9684,50.8385,4.5,-0.00331,-0.03215,0.02637,zero-crossing,0.00552,-0.02176,0.03771,zero-crossing,0.01173,-0.0275,0.051,zero-crossing,-0.00705,-0.04158,0.03072,zero-crossing
39,Cairo,Egypt,arid,30.0444,31.2357,8.0,0.00893,-0.01626,0.03253,zero-crossing,-0.00654,-0.04071,0.02805,zero-crossing,-0.00119,-0.04518,0.0374,zero-crossing,-0.00768,-0.04054,0.02063,zero-crossing
40,SanFrancisco,USA,mixed,37.7749,-122.4194,10.0,0.00114,-0.02513,0.02869,zero-crossing,-0.01611,-0.0487,0.01561,zero-crossing,-0.0064,-0.04377,0.02822,zero-crossing,-0.00774,-0.04628,0.02765,zero-crossing
41,Reykjavik,Iceland,cold,64.1466,-21.9426,5.0,0.01544,-0.01257,0.04863,zero-crossing,-0.00654,-0.038,0.0263,zero-crossing,-0.00373,-0.03925,0.03111,zero-crossing,-0.00789,-0.04351,0.03091,zero-crossing
42,Quito,Ecuador,high_alt,-0.1807,-78.4678,6.0,0.00467,-0.02788,0.03773,zero-crossing,-0.00886,-0.03743,0.02371,zero-crossing,0.0018,-0.03606,0.03621,zero-crossing,-0.00818,-0.04907,0.03052,zero-crossing
43,Jakarta,Indonesia,lowland,-6.2088,106.8456,5.5,0.00646,-0.02161,0.03754,zero-crossing,-0.01164,-0.03889,0.0213,zero-crossing,-0.0025,-0.03735,0.03225,zero-crossing,-0.00849,-0.03996,0.02156,zero-crossing
44,Kathmandu,Nepal,high_alt,27.7172,85.324,8.0,0.00221,-0.02221,0.02835,zero-crossing,-0.00729,-0.0358,0.02351,zero-crossing,-0.00883,-0.04762,0.03123,zero-crossing,-0.00958,-0.04381,0.01975,zero-crossing
45,Karachi,Pakistan,coastal,24.8607,67.0011,4.5,-0.00027,-0.03402,0.03399,zero-crossing,0.00073,-0.03118,0.03422,zero-crossing,-0.00515,-0.0408,0.0297,zero-crossing,-0.0102,-0.04482,0.02273,zero-crossing
46,Santiago,Chile,mixed,-33.4489,-70.6693,10.0,0.0092,-0.02068,0.03637,zero-crossing,-0.00794,-0.03942,0.02343,zero-crossing,-0.00688,-0.04283,0.02641,zero-crossing,-0.01106,-0.04621,0.02524,zero-crossing
47,Almaty,Kazakhstan,mixed,43.2389,76.8897,14.0,0.01272,-0.01764,0.04667,zero-crossing,-0.01041,-0.04453,0.02065,zero-crossing,0.00678,-0.02983,0.0453,zero-crossing,-0.01186,-0.05492,0.02795,zero-crossing
48,CapeTown,SouthAfrica,coastal,-33.9249,18.4241,9.0,0.00773,-0.02481,0.04119,zero-crossing,-0.00668,-0.03888,0.02566,zero-crossing,0.00489,-0.0313,0.042,zero-crossing,-0.01216,-0.05367,0.02548,zero-crossing
49,Portland,USA,mixed,45.5152,-122.6784,7.0,0.00187,-0.02773,0.03554,zero-crossing,-0.01939,-0.05666,0.01541,zero-crossing,-0.00962,-0.04938,0.03089,zero-crossing,-0.01655,-0.05241,0.01857,zero-crossing
50,Bogota,Colombia,high_alt,4.711,-74.0721,6.0,0.00976,-0.02232,0.04733,zero-crossing,0.00493,-0.02872,0.04281,zero-crossing,0.01405,-0.0255,0.0506,zero-crossing,-0.01695,-0.05559,0.02201,zero-crossing
